,N_title,N_type,N_description,N_release_year,N_age_certification,N_production_countries,N_runtime,N_seasons,D_title,D_type,D_description,D_release_year,D_rating,D_country,D_duration,IMDBShows_Series_Title,IMDBShows_IMDB_Rating,IMDBMovies.IMDB_Rating,IMDBMovies.Series_Title,TvShowsAndMoviesWithRating_title,TvShowsAndMoviesWithRating_type,TvShowsAndMoviesWithRating_description,TvShowsAndMoviesWithRating_release_year,TvShowsAndMoviesWithRating_age_certification,TvShowsAndMoviesWithRating_productionCountry,TvShowsAndMoviesWithRating_runtime,TvShowsAndMoviesWithRating_production_countries,TvShowsAndMoviesWithRating_available_on,IMDBMovies_Series_Title,IMDBMovies_IMDB_Rating,TvShowsAndMoviesWithRating_imdb_rating
7225,,,,,,,,,Treasure Planet,Movie,Jim Hawkins follow an intergalactic map in search of Captain Flint's trove.,2002,PG,United States,98 min,,,,,Treasure Planet,Movie,Jim Hawkins follow an intergalactic map in search of Captain Flint's trove.,2002,PG,,98 min,United States,Disney+,,,
7226,,,,,,,,,Tree Climbing Lions,Movie,"Lions in Uganda exhibit a rare, mysterious behavior – they spend much of their lives up in trees.",2018,TV-PG,,45 min,,,,,Tree Climbing Lions,Movie,"Lions in Uganda exhibit a rare, mysterious behavior – they spend much of their lives up in trees.",2018,TV-PG,,45 min,,Disney+,,,
7227,,,,,,,,,Tron,Movie,"After practicing his hacking chops, a brilliant video game maker becomes part of his own creation.",1982,PG,United States,96 min,,,,,Tron,Movie,"After practicing his hacking chops, a brilliant video game maker becomes part of his own creation.",1982,PG,,96 min,United States,Disney+,,,
7228,,,,,,,,,Tru Confessions,Movie,A chance to star in a TV show reveals the value of family for Trudy Walker.,2002,TV-G,"United States, Canada",83 min,,,,,Tru Confessions,Movie,A chance to star in a TV show reveals the value of family for Trudy Walker.,2002,TV-G,,83 min,"United States, Canada",Disney+,,,
7229,,,,,,,,,Tuck Everlasting,Movie,A woman falls in love with a man who is immortal.,2002,PG,United States,91 min,,,,,Tuck Everlasting,Movie,A woman falls in love with a man who is immortal.,2002,PG,,91 min,United States,Disney+,,,
7230,,,,,,,,,Tugboat Mickey,Movie,Mickey captains a tugboat with Donald and Goofy as the crew. See details for advisory.,1940,TV-G,United States,8 min,,,,,Tugboat Mickey,Movie,Mickey captains a tugboat with Donald and Goofy as the crew. See details for advisory.,1940,TV-G,,8 min,United States,Disney+,,,
7231,,,,,,,,,Twas the Night,Movie,Danny and his con-artist uncle take over when Santa Claus is knocked out.,2001,TV-G,United States,87 min,,,,,Twas the Night,Movie,Danny and his con-artist uncle take over when Santa Claus is knocked out.,2001,TV-G,,87 min,United States,Disney+,,,
7232,,,,,,,,,Twitches,Movie,Reunited twin girls discover they have magical powers.,2005,TV-PG,United States,87 min,,,,,Twitches,Movie,Reunited twin girls discover they have magical powers.,2005,TV-PG,,87 min,United States,Disney+,,,
7233,,,,,,,,,Twitches Too,Movie,"When a new evil threat arrives, it's up to the twitches to save Coventry.",2007,TV-PG,United States,84 min,,,,,Twitches Too,Movie,"When a new evil threat arrives, it's up to the twitches to save Coventry.",2007,TV-PG,,84 min,United States,Disney+,,,
7234,,,,,,,,,Unidentified Flying Oddball,Movie,An astronaut and his robot accidentally travel in time to medieval England.,1979,G,United States,93 min,,,,,Unidentified Flying Oddball,Movie,An astronaut and his robot accidentally travel in time to medieval England.,1979,G,,93 min,United States,Disney+,,,
7235,,,,,,,,,Up,Movie,An unlikely pair set to the sky for the adventure of their lives.,2009,PG,United States,96 min,,,,,Up,Movie,An unlikely pair set to the sky for the adventure of their lives.,2009,PG,,96 min,United States,Disney+,Up,8.6,8.2
7236,,,,,,,,,"Up, Up and Away",Movie,The teenage son in a superhero family anxiously awaits his super powers.,2000,TV-G,"Canada, United States",78 min,,,,,"Up, Up and Away",Movie,The teenage son in a superhero family anxiously awaits his super powers.,2000,TV-G,,78 min,"Canada, United States",Disney+,,,
7237,,,,,,,,,Valiant,Movie,"When the world needs a hero, a little pigeon steps up.",2005,G,"United Kingdom, United States",76 min,,,,,Valiant,Movie,"When the world needs a hero, a little pigeon steps up.",2005,G,,76 min,"United Kingdom, United States",Disney+,,,
7238,,,,,,,,,Waking Sleeping Beauty,Movie,A revealing look at the events that ushered in the second chapter of Disney's animation legacy.,2010,PG,United States,87 min,,,,,Waking Sleeping Beauty,Movie,A revealing look at the events that ushered in the second chapter of Disney's animation legacy.,2010,PG,,87 min,United States,Disney+,,,
7239,,,,,,,,,WALL-E,Movie,Join robots WALL-E and EVE on a fantastic journey across the universe.,2008,G,United States,99 min,,,,,WALL-E,Movie,Join robots WALL-E and EVE on a fantastic journey across the universe.,2008,G,,99 min,United States,Disney+,,,
7240,,,,,,,,,Wendy Wu: Homecoming Warrior,Movie,Wendy's world is flipped upside down when a mysterious young monk arrives.,2006,TV-PG,United States,91 min,,,,,Wendy Wu: Homecoming Warrior,Movie,Wendy's world is flipped upside down when a mysterious young monk arrives.,2006,TV-PG,,91 min,United States,Disney+,,,
7241,,,,,,,,,Whispers: An Elephant's Tale,Movie,An adorable baby elephant bravely embarks on a journey through the harsh wilds to find his mother.,2000,G,United States,73 min,,,,,Whispers: An Elephant's Tale,Movie,An adorable baby elephant bravely embarks on a journey through the harsh wilds to find his mother.,2000,G,,73 min,United States,Disney+,,,
7242,,,,,,,,,Who Framed Roger Rabbit,Movie,A juicy mystery filled with loony fun pairs a Toon-hating detective with a cartoon rabbit.,1988,PG,United States,104 min,,,,,Who Framed Roger Rabbit,Movie,A juicy mystery filled with loony fun pairs a Toon-hating detective with a cartoon rabbit.,1988,PG,,104 min,United States,Disney+,Who Framed Roger Rabbit,7.9,7.7
7243,,,,,,,,,Wild Yellowstone,TV Show,Wild Yellowstone captures the beauty and essence of the land and animals.,2015,TV-PG,Germany,1 Season,,,,,Wild Yellowstone,TV Show,Wild Yellowstone captures the beauty and essence of the land and animals.,2015,TV-PG,,1 Season,Germany,Disney+,,,
7244,,,,,,,,,Winged Seduction: Birds of Paradise,Movie,"Shape shifting, dancing, dazzling transformers – birds of paradise are astonishing.",2012,TV-PG,United States,45 min,,,,,Winged Seduction: Birds of Paradise,Movie,"Shape shifting, dancing, dazzling transformers – birds of paradise are astonishing.",2012,TV-PG,,45 min,United States,Disney+,,,
7245,,,,,,,,,Winnie the Pooh,Movie,Reunite with the beloved bear and his silly but steadfast friends.,2011,G,United States,68 min,,,,,Winnie the Pooh,Movie,Reunite with the beloved bear and his silly but steadfast friends.,2011,G,,68 min,United States,Disney+,,,
7246,,,,,,,,,Winnie the Pooh: A Very Merry Pooh Year,Movie,Rabbit threatens to move away if the others won't change.,2002,G,United States,67 min,,,,,Winnie the Pooh: A Very Merry Pooh Year,Movie,Rabbit threatens to move away if the others won't change.,2002,G,,67 min,United States,Disney+,,,
7247,,,,,,,,,Winnie the Pooh: Springtime with Roo,Movie,Rabbit forces the others to hold off on fun until spring cleaning is done.,2004,G,United States,70 min,,,,,Winnie the Pooh: Springtime with Roo,Movie,Rabbit forces the others to hold off on fun until spring cleaning is done.,2004,G,,70 min,United States,Disney+,,,
7248,,,,,,,,,Winter Storage,Movie,Donald and Chip and Dale face off over acorns. See details for advisory.,1949,TV-G,United States,7 min,,,,,Winter Storage,Movie,Donald and Chip and Dale face off over acorns. See details for advisory.,1949,TV-G,,7 min,United States,Disney+,,,
7249,,,,,,,,,Wizards of Waverly Place,TV Show,"Alex, Justin, and Max Russo are not your ordinary teenagers – they’re secretly wizards in training!",2007,TV-G,United States,4 Seasons,Wizards of Waverly Place,6.9,,,Wizards of Waverly Place,TV Show,"Alex, Justin, and Max Russo are not your ordinary teenagers – they’re secretly wizards in training!",2007,TV-G,,4 Seasons,United States,Disney+,,,6.9
7250,,,,,,,,,Wizards of Waverly Place: The Movie,Movie,A vacation turns into a spell-soaked adventure for the family of wizards.,2009,TV-G,United States,94 min,,,,,Wizards of Waverly Place: The Movie,Movie,A vacation turns into a spell-soaked adventure for the family of wizards.,2009,TV-G,,94 min,United States,Disney+,,,
7251,,,,,,,,,Wolverine and The X-Men,TV Show,Wolverine and the X-Men must join together to prevent a catastrophic future.,2008,TV-Y7,United States,1 Season,,,,,Wolverine and The X-Men,TV Show,Wolverine and the X-Men must join together to prevent a catastrophic future.,2008,TV-Y7,,1 Season,United States,Disney+,,,
7252,,,,,,,,,World's Greatest Dogs,Movie,"From acrobatics to crazy stunts, this special celebrates amazing dogs and their owners.",2015,TV-PG,United States,44 min,,,,,World's Greatest Dogs,Movie,"From acrobatics to crazy stunts, this special celebrates amazing dogs and their owners.",2015,TV-PG,,44 min,United States,Disney+,,,
7253,,,,,,,,,Wreck-It Ralph,Movie,Ralph sets out to prove that he is a true hero in his arcade.,2012,PG,United States,103 min,,,,,Wreck-It Ralph,Movie,Ralph sets out to prove that he is a true hero in his arcade.,2012,PG,,103 min,United States,Disney+,Wreck-It Ralph,7.5,7.7
7254,,,,,,,,,X-Men: Evolution,TV Show,X-Men: Evolution features the team as teenagers as they fight for a world that fears and hates them.,2000,TV-Y7,United States,4 Seasons,X-Men: Evolution,7.9,,,X-Men: Evolution,TV Show,X-Men: Evolution features the team as teenagers as they fight for a world that fears and hates them.,2000,TV-Y7,,4 Seasons,United States,Disney+,,,7.9
7255,,,,,,,,,Ye Olden Days,Movie,"Minnie is locked away for not marrying a prince, but Mickey saves her. See details for advisory.",1933,TV-Y7,United States,9 min,,,,,Ye Olden Days,Movie,"Minnie is locked away for not marrying a prince, but Mickey saves her. See details for advisory.",1933,TV-Y7,,9 min,United States,Disney+,,,
7256,,,,,,,,,Yellowstone Cubs,Movie,Two bear cubs take a mischievous tour of Yellowstone National Park. See details for advisory.,1963,TV-PG,United States,48 min,,,,,Yellowstone Cubs,Movie,Two bear cubs take a mischievous tour of Yellowstone National Park. See details for advisory.,1963,TV-PG,,48 min,United States,Disney+,,,
7257,,,,,,,,,You Lucky Dog,Movie,Jack Morgan discovers a psychic connection between himself and a dog.,1998,TV-G,United States,88 min,,,,,You Lucky Dog,Movie,Jack Morgan discovers a psychic connection between himself and a dog.,1998,TV-G,,88 min,United States,Disney+,,,
7258,,,,,,,,,You Wish!,Movie,Alex uses a magical coin to wish he didn't have a younger brother.,2003,TV-G,"New Zealand, United States",88 min,,,,,You Wish!,Movie,Alex uses a magical coin to wish he didn't have a younger brother.,2003,TV-G,,88 min,"New Zealand, United States",Disney+,,,
7259,,,,,,,,,Your Friend the Rat,Movie,Remy explains why humans and rats should get along.,2007,TV-G,United States,13 min,,,,,Your Friend the Rat,Movie,Remy explains why humans and rats should get along.,2007,TV-G,,13 min,United States,Disney+,,,
7260,,,,,,,,,Z-O-M-B-I-E-S,Movie,A traditional high school must accept students from Zombietown.,2018,TV-G,United States,97 min,,,,,Z-O-M-B-I-E-S,Movie,A traditional high school must accept students from Zombietown.,2018,TV-G,,97 min,United States,Disney+,,,
7261,,,,,,,,,Zapped,Movie,Zoey discovers a magical app that can control the boys in her life.,2014,TV-G,"Canada, United States",95 min,,,,,Zapped,Movie,Zoey discovers a magical app that can control the boys in her life.,2014,TV-G,,95 min,"Canada, United States",Disney+,,,
7262,,,,,,,,,Zenon: Girl of the 21st Century,Movie,Zenon must thwart a villain's plot after she's grounded and sent to Earth.,1999,TV-G,United States,97 min,,,,,Zenon: Girl of the 21st Century,Movie,Zenon must thwart a villain's plot after she's grounded and sent to Earth.,1999,TV-G,,97 min,United States,Disney+,,,
7263,,,,,,,,,Zenon: The Zequel,Movie,Zenon sneaks down to Earth to try to save her space station.,2001,TV-G,"United States, New Zealand",89 min,,,,,Zenon: The Zequel,Movie,Zenon sneaks down to Earth to try to save her space station.,2001,TV-G,,89 min,"United States, New Zealand",Disney+,,,
7264,,,,,,,,,Zenon: Z3,Movie,It's up to Zenon and her friends when moon goddess Selena threatens Earth.,2004,TV-G,United States,81 min,,,,,Zenon: Z3,Movie,It's up to Zenon and her friends when moon goddess Selena threatens Earth.,2004,TV-G,,81 min,United States,Disney+,,,
7265,,,,,,,,,Zootopia,Movie,A rookie-cop rabbit and wily fox team up to crack a case.,2016,PG,United States,109 min,,,,,Zootopia,Movie,A rookie-cop rabbit and wily fox team up to crack a case.,2016,PG,,109 min,United States,Disney+,Zootopia,7.6,8.0
7266,,,,,,,,,Bedknobs and Broomsticks,Movie,Three children and an amateur witch team up to save England from invasion.,1971,G,United States,118 min,,,,,Bedknobs and Broomsticks,Movie,Three children and an amateur witch team up to save England from invasion.,1971,G,,118 min,United States,Disney+,,,
7267,,,,,,,,,Blackbeard's Ghost,Movie,A track coach inherits the mischievous ghost of famed pirate Blackbeard.,1968,G,United States,107 min,,,,,Blackbeard's Ghost,Movie,A track coach inherits the mischievous ghost of famed pirate Blackbeard.,1968,G,,107 min,United States,Disney+,,,
7268,,,,,,,,,Brave Little Tailor,Movie,"Mickey Mouse, a tailor, is appointed by the king to kill the giant.",1938,TV-PG,United States,9 min,,,,,Brave Little Tailor,Movie,"Mickey Mouse, a tailor, is appointed by the king to kill the giant.",1938,TV-PG,,9 min,United States,Disney+,,,
7269,,,,,,,,,Justin Morgan had a Horse,Movie,The story of the foundation sire of the Morgan Horse Breed.,1972,TV-G,United States,88 min,,,,,Justin Morgan had a Horse,Movie,The story of the foundation sire of the Morgan Horse Breed.,1972,TV-G,,88 min,United States,Disney+,,,
7270,,,,,,,,,Lady and the Tramp II: Scamp's Adventure,Movie,"Itching for freedom, Lady's pup Scamp joins up with the Junkyard Dogs.",2001,G,"United States, Australia",73 min,,,,,Lady and the Tramp II: Scamp's Adventure,Movie,"Itching for freedom, Lady's pup Scamp joins up with the Junkyard Dogs.",2001,G,,73 min,"United States, Australia",Disney+,,,
7271,,,,,,,,,Smart Guy,TV Show,A genius tries to fit in as a high school sophomore.,1996,TV-G,United States,3 Seasons,,,,,Smart Guy,TV Show,A genius tries to fit in as a high school sophomore.,1996,TV-G,,3 Seasons,United States,Disney+,,,
7272,,,,,,,,,The Cat from Outer Space,Movie,A physicist tries to help an alien cat after it crash-lands on Earth.,1978,G,United States,104 min,,,,,The Cat from Outer Space,Movie,A physicist tries to help an alien cat after it crash-lands on Earth.,1978,G,,104 min,United States,Disney+,,,
7273,,,,,,,,,The Great Mouse Detective,Movie,A super-sleuth mouse must solve a toy maker's disappearance.,1986,G,United States,75 min,,,,,The Great Mouse Detective,Movie,A super-sleuth mouse must solve a toy maker's disappearance.,1986,G,,75 min,United States,Disney+,,,
7274,,,,,,,,,The Sword in the Stone,Movie,Merlin trains a young orphan who's destined to be the King of England.,1963,G,United States,80 min,,,,,The Sword in the Stone,Movie,Merlin trains a young orphan who's destined to be the King of England.,1963,G,,80 min,United States,Disney+,,,
7275,,,,,,,,,Those Calloways,Movie,A strong-willed family struggles to establish a wild geese sanctuary. See details for advisory.,1965,PG,United States,132 min,,,,,Those Calloways,Movie,A strong-willed family struggles to establish a wild geese sanctuary. See details for advisory.,1965,PG,,132 min,United States,Disney+,,,
7276,,,,,,,,,Disney Kirby Buckets,TV Show,Welcome to Kirby's world! It's rude and sketchy.,2014,TV-Y7,United States,3 Seasons,,,,,Disney Kirby Buckets,TV Show,Welcome to Kirby's world! It's rude and sketchy.,2014,TV-Y7,,3 Seasons,United States,Disney+,,,
7277,,,,,,,,,Disney Mech-X4,TV Show,Ryan discovers his ability to control a giant robot.,2016,TV-Y7,Canada,2 Seasons,,,,,Disney Mech-X4,TV Show,Ryan discovers his ability to control a giant robot.,2016,TV-Y7,,2 Seasons,Canada,Disney+,,,
7278,,,,,,,,,Imagination Movers,TV Show,"Rock out with the Imagination Movers, Disney Junior’s favorite alternative band for preschoolers!",2008,TV-Y,United States,3 Seasons,,,,,Imagination Movers,TV Show,"Rock out with the Imagination Movers, Disney Junior’s favorite alternative band for preschoolers!",2008,TV-Y,,3 Seasons,United States,Disney+,,,
